,player1,player2,result,p1name,p2name
0,0,0,2,scyther,scyther
1,0,1,2,scyther,pinsir
2,0,2,2,scyther,moltres
3,0,3,2,scyther,moltres EX
4,0,4,2,scyther,heatmor
5,0,5,2,scyther,lapras
6,0,6,2,scyther,articuno
7,0,7,2,scyther,articuno EX
8,0,8,2,scyther,pyukumuku
9,0,9,2,scyther,bruxish
10,0,10,1,scyther,pikachu EX
11,0,11,2,scyther,zapdos
12,0,12,2,scyther,zapdos EX
13,0,13,2,scyther,pincurchin
14,0,14,1,scyther,mr. mime
15,0,15,2,scyther,jynx
16,0,16,2,scyther,mewtwo
17,0,17,2,scyther,mewtwo EX
18,0,18,2,scyther,onix
19,0,19,1,scyther,hitmonlee
20,0,20,2,scyther,hitmonchan
21,0,21,1,scyther,mawile
22,0,22,2,scyther,farfech'd
23,0,23,2,scyther,chancey
24,0,24,2,scyther,kangaskhan
25,0,25,2,scyther,tauros
26,0,26,1,scyther,ditto
27,0,27,2,scyther,snorlax
28,0,28,1,scyther,mew
29,0,29,2,scyther,celebi EX
30,0,30,2,scyther,dhelmise
31,0,31,1,scyther,cramorant
32,0,32,1,scyther,dedenne
33,0,33,2,scyther,mew EX
34,0,34,1,scyther,sigilyph
35,0,35,2,scyther,marshadow
36,0,36,2,scyther,stonejourner
37,0,37,1,scyther,druddigon
38,0,38,2,scyther,tauros
39,0,39,1,scyther,chatot
40,0,40,2,scyther,carnivine
41,0,41,1,scyther,mow rotom
42,0,42,2,scyther,shaymin
43,0,43,2,scyther,heat rotom
44,0,44,2,scyther,regice
45,0,45,2,scyther,wash rotom
46,0,46,2,scyther,frost rotom
47,0,47,2,scyther,palkia EX
48,0,48,1,scyther,manaphy
49,0,49,2,scyther,pachirisu EX
50,0,50,1,scyther,rotom
51,0,51,1,scyther,uxie
52,0,52,1,scyther,mespirit
53,0,53,1,scyther,azelf
54,0,54,2,scyther,giratina
55,0,55,2,scyther,cresselia
56,0,56,2,scyther,himontop
57,0,57,2,scyther,regirock
58,0,58,1,scyther,spiritomb
59,0,59,1,scyther,darkrai
60,0,60,2,scyther,darkrai EX
61,0,61,1,scyther,skarmory
62,0,62,2,scyther,registeel
63,0,63,2,scyther,dialga EX
64,0,64,2,scyther,heatran
65,0,65,1,scyther,chatot
66,0,66,1,scyther,fan rotom
67,0,67,2,scyther,regigigas
68,0,68,2,scyther,lapras EX
